"","WEEK","DEMAND"
"530",1643,17439.761
"531",1644,22003.3792
"532",1645,21936.1998
"533",1646,20158.9271
"534",1647,18627.7113
"535",1648,17941.4804
"536",1649,18706.0091
"537",1650,17907.2082
"538",1651,18760.1287
"539",1652,15144.7377
"540",1653,18412.8699
"541",1654,18371.8798
"542",1655,17442.3273
"543",1656,19895.4893
"544",1657,17814.3129
"545",1658,18451.6003
"546",1659,17402.4683
"547",1660,15223.2038
"548",1661,16527.9459
"549",1662,18159.278
"550",1663,18594.0757
"551",1664,15874.6291
"552",1665,14975.2781
"553",1666,18241.1312
"554",1667,18477.9715
"555",1668,22914.4699
"556",1669,15811.7834
"557",1670,17495.7212
"558",1671,18504.966
"559",1672,20144.6448
"560",1673,19270.6921
"561",1674,18551.1644
"562",1675,18019.5166
"563",1676,21624.777
"564",1677,18730.7879
"565",1678,19430.7297
"566",1679,21600.1691
"567",1680,17049.0106
"568",1681,17026.6384
"569",1682,13983.5575
"570",1683,18613.4962
"571",1684,21356.3743
"572",1685,19782.358
"573",1686,16055.4167
